Sno,date,country,Cured,Death,Confirmed,Total Test,"Serious,Critical",Total cases
1,2/15/2020,Afghanistan,11,4,1,0,,23
2,2/16/2020,Afghanistan,13,5,3423,0,,12
3,2/17/2020,Afghanistan,45,5,12,0,,43
4,2/18/2020,Afghanistan,12,1,45,0,,53
5,2/19/2020,Afghanistan,-12,0,87,0,,134
6,2/20/2020,Afghanistan,56,0,97,0,,123
7,2/21/2020,Afghanistan,3,2,54,0,,123
8,2/22/2020,Afghanistan,4,0,897,0,,12
9,2/23/2020,Afghanistan,56,16,2,0,,0
10,2/24/2020,Afghanistan,32,0,38,1,,0
11,2/25/2020,Afghanistan,12,34,72,1,0,0
12,2/26/2020,Afghanistan,7,10,80,1,0,0
13,2/27/2020,Afghanistan,65,10,88,1,0,0
14,2/28/2020,Afghanistan,78,16,104,1,0,0
15,2/29/2020,Afghanistan,34,0,104,1,0,0
16,03/01/2020,Afghanistan,234,10,114,1,0,0
17,03/02/2020,Afghanistan,53,50,164,1,0,0
18,03/03/2020,Afghanistan,546,4,165,1,0,0
19,03/04/2020,Afghanistan,0,63,228,1,0,0
20,03/05/2020,Afghanistan,273,36,257,1,0,0
21,03/06/2020,Afghanistan,281,8,265,1,0,0
22,03/07/2020,Afghanistan,309,28,292,4,0,3
23,03/08/2020,Afghanistan,349,40,327,4,0,0
24,03/09/2020,Afghanistan,367,18,338,4,0,0
25,03/10/2020,Afghanistan,423,56,391,5,0,1
26,03/11/2020,Afghanistan,444,21,401,7,0,2
27,03/12/2020,Afghanistan,484,40,437,7,0,0
28,3/13/2020,Afghanistan,521,37,474,7,0,0
29,3/14/2020,Afghanistan,555,34,505,11,0,4
30,3/15/2020,Afghanistan,607,52,557,16,0,5
31,3/16/2020,Afghanistan,665,58,612,21,0,5
32,3/17/2020,Afghanistan,714,49,651,22,0,1
33,3/18/2020,Afghanistan,784,70,716,22,0,0
34,3/19/2020,Afghanistan,840,56,756,22,0,0
35,3/20/2020,Afghanistan,906,66,777,24,0,2
36,3/21/2020,Afghanistan,933,27,791,24,0,0
37,3/22/2020,Afghanistan,996,63,832,40,1,16
38,3/23/2020,Afghanistan,0,30,855,40,0,0
39,3/24/2020,Afghanistan,0,66,906,74,0,34
40,3/25/2020,Afghanistan,0,84,970,84,1,10
41,3/26/2020,Afghanistan,0,103,1058,94,2,10
42,3/27/2020,Afghanistan,0,72,1120,110,0,16
43,3/28/2020,Afghanistan,0,112,1228,110,0,0
44,3/29/2020,Afghanistan,0,68,1274,0,0,10
45,3/30/2020,Afghanistan,0,0,1426,0,0,50
46,3/31/2020,Afghanistan,0,0,1542,0,0,4
47,04/01/2020,Afghanistan,0,0,1627,0,0,63
48,04/02/2020,Afghanistan,0,0,1847,0,2,36
49,04/03/2020,Afghanistan,0,0,1957,0,0,8
50,04/04/2020,Afghanistan,0,0,2066,0,1,28
51,04/05/2020,Afghanistan,2704,0,2274,0,0,40
52,04/06/2020,Afghanistan,2894,0,2407,0,4,18
53,04/07/2020,Afghanistan,3224,330,2708,0,3,56
54,04/08/2020,Afghanistan,3392,168,2830,444,0,21
55,04/09/2020,Afghanistan,3563,171,2989,484,1,40
56,04/10/2020,Afghanistan,3778,215,3197,521,0,37
57,04/11/2020,Afghanistan,4033,255,3416,555,3,34
58,04/12/2020,Afghanistan,4402,369,3724,607,0,52
59,4/13/2020,Afghanistan,4687,285,4007,665,3,58
60,4/14/2020,Afghanistan,4963,276,4226,714,2,49
61,4/15/2020,Afghanistan,5226,263,4446,784,2,70
62,4/16/2020,Afghanistan,5639,413,4812,840,5,56
63,4/17/2020,Afghanistan,6053,414,5155,906,0,66
64,4/18/2020,Afghanistan,6402,349,5489,933,0,27
65,4/19/2020,Afghanistan,6664,262,5717,996,3,63
66,4/20/2020,Afghanistan,7072,408,6098,1026,3,30
67,4/21/2020,Afghanistan,7653,581,6625,1092,0,66
68,4/22/2020,Afghanistan,8145,492,7028,1176,4,84
69,4/23/2020,Afghanistan,8676,531,7545,1279,2,103
70,4/24/2020,Afghanistan,9216,540,8015,1351,1,72
71,4/25/2020,Afghanistan,9998,782,8742,1463,4,112
72,4/26/2020,Afghanistan,10582,584,9289,1531,3,68
73,4/27/2020,Afghanistan,11173,591,9857,1703,7,172
74,4/28/2020,Afghanistan,11831,658,10483,1828,1,125
75,4/29/2020,Afghanistan,12456,625,11091,1939,2,111
76,4/30/2020,Afghanistan,13036,580,11592,2171,4,232
77,05/01/2020,Afghanistan,13659,623,12154,2335,4,164
78,05/02/2020,Afghanistan,14525,866,12973,2469,4,134
79,05/03/2020,Afghanistan,15205,680,13620,2704,13,235
80,05/04/2020,Afghanistan,15750,545,14057,2894,5,190
81,05/05/2020,Afghanistan,16509,759,14789,3224,5,330
82,05/06/2020,Afghanistan,17267,758,15451,3392,9,168
83,05/07/2020,Afghanistan,18054,787,16169,3563,2,171
84,05/08/2020,Afghanistan,18969,915,16898,3778,3,215
85,05/09/2020,Afghanistan,19551,582,17394,4033,6,255
86,05/10/2020,Afghanistan,20342,791,18110,4402,5,369
87,05/11/2020,Afghanistan,20917,575,18377,4687,2,285
88,05/12/2020,Afghanistan,21459,542,18424,4963,5,276
89,5/13/2020,Afghanistan,22142,683,18724,5226,5,263
90,5/14/2020,Afghanistan,22890,748,19138,5639,4,413
91,5/15/2020,Afghanistan,23546,656,19172,6053,17,414
92,5/16/2020,Afghanistan,24102,556,19450,6402,15,349
93,5/17/2020,Afghanistan,24766,664,19570,6664,1,262
94,5/18/2020,Afghanistan,25527,761,19885,7072,4,408
95,5/19/2020,Afghanistan,26310,783,20311,7653,5,581
96,5/20/2020,Afghanistan,26874,564,20212,8145,9,492
97,5/21/2020,Afghanistan,27532,658,19326,8676,6,531
98,5/22/2020,Afghanistan,27878,346,19368,9216,12,540
99,5/23/2020,Afghanistan,28424,546,19563,9998,11,782
100,5/24/2020,Afghanistan,28833,409,19488,10582,2,584
101,5/25/2020,Afghanistan,29157,324,19718,11173,1,591
102,5/26/2020,Afghanistan,29481,324,19603,11831,1,658
103,5/27/2020,Afghanistan,29640,159,19132,12456,7,625
104,5/28/2020,Afghanistan,30175,535,19326,13036,8,580
105,5/29/2020,Afghanistan,30451,276,19462,13659,11,623
106,5/30/2020,Afghanistan,30616,165,19239,14525,3,866
107,5/31/2020,Afghanistan,30967,351,17642,15205,8,680
108,06/01/2020,Afghanistan,31238,271,16571,15750,8,545
109,06/02/2020,Afghanistan,31517,279,16640,16509,5,759
110,06/03/2020,Afghanistan,31836,319,15411,17267,24,758
111,06/04/2020,Afghanistan,32022,186,15174,18054,6,787
112,06/05/2020,Afghanistan,32324,302,14174,18969,9,915
113,06/06/2020,Afghanistan,32672,348,12682,19551,18,582
114,06/07/2020,Afghanistan,32951,279,12721,20342,30,791
115,06/08/2020,Afghanistan,33190,239,12189,20917,12,575
116,06/09/2020,Afghanistan,33384,194,12285,21459,15,542
117,06/10/2020,Afghanistan,33594,210,11958,22142,21,683
118,06/11/2020,Afghanistan,33908,314,12104,22890,21,748
119,06/12/2020,Afghanistan,34194,286,12341,23546,20,656
120,6/13/2020,Afghanistan,34366,172,12237,24102,5,556
121,6/14/2020,Afghanistan,34451,85,12225,24766,20,664
122,6/15/2020,Afghanistan,34455,4,12189,25527,7,761
123,6/16/2020,Afghanistan,34740,285,12238,26310,13,783
124,6/17/2020,Afghanistan,34994,254,11444,26874,13,564
125,6/18/2020,Afghanistan,35070,76,11133,27532,42,658
126,6/19/2020,Afghanistan,35229,159,10931,27878,2,346
127,6/20/2020,Afghanistan,35301,72,10864,28424,21,546
128,6/21/2020,Afghanistan,35475,174,10660,28833,12,409
129,6/22/2020,Afghanistan,35526,51,10600,29157,17,324
130,6/23/2020,Afghanistan,35615,89,10688,29481,20,324
131,6/24/2020,Afghanistan,35727,112,10613,29640,21,159
132,6/25/2020,Afghanistan,35928,201,10167,30175,36,535
133,6/26/2020,Afghanistan,35981,53,10154,30451,8,276
134,6/27/2020,Afghanistan,36036,55,9995,30616,20,165
135,6/28/2020,Afghanistan,36157,121,9718,30967,18,351
136,6/29/2020,Afghanistan,36263,106,9796,31238,12,271
137,6/30/2020,Afghanistan,36368,105,9740,31517,13,279
138,07/01/2020,Afghanistan,36471,103,9811,31836,28,319
139,07/02/2020,Afghanistan,36542,71,9800,32022,33,186
140,07/03/2020,Afghanistan,36675,133,9894,32324,12,302
141,07/04/2020,Afghanistan,36710,35,9918,32672,7,348
142,07/05/2020,Afghanistan,36710,0,9916,32951,38,279
143,07/06/2020,Afghanistan,36747,37,9790,33190,34,239
144,07/07/2020,Afghanistan,36782,35,9825,33384,22,194
145,07/08/2020,Afghanistan,36829,47,9793,33594,16,210
146,07/09/2020,Afghanistan,36896,67,9758,33908,21,314
147,07/10/2020,Afghanistan,37015,119,9805,34194,14,286
148,07/11/2020,Afghanistan,37054,39,9782,34366,23,172
149,07/12/2020,Afghanistan,37054,0,9600,34451,16,85
150,7/13/2020,Afghanistan,37162,108,9606,34455,2,4
151,7/14/2020,Afghanistan,37269,107,9510,34740,36,285
152,7/15/2020,Afghanistan,37345,76,9297,34994,46,254
153,7/16/2020,Afghanistan,37424,79,9347,35070,19,76
154,7/17/2020,Afghanistan,37431,7,9354,35229,34,159
155,7/18/2020,Afghanistan,37551,120,9015,35301,17,72
156,7/19/2020,Afghanistan,37596,45,9055,35475,17,174
157,7/20/2020,Afghanistan,37599,3,9058,35526,4,51
158,7/21/2020,Afghanistan,37599,0,9058,35615,1,89
159,7/22/2020,Afghanistan,37599,0,9058,35727,4,112
160,7/23/2020,Afghanistan,37856,257,8790,35928,21,201
161,7/24/2020,Afghanistan,37894,38,8493,35981,14,53
162,7/25/2020,Afghanistan,37953,59,8552,36036,23,55
163,7/26/2020,Afghanistan,37999,46,8432,36157,11,121
164,7/27/2020,Afghanistan,38054,55,8305,36263,10,106
165,7/28/2020,Afghanistan,38070,16,8233,36368,1,105
166,7/29/2020,Afghanistan,38113,43,7670,36471,1,103
167,7/30/2020,Afghanistan,38129,16,7682,36542,0,71
168,7/31/2020,Afghanistan,38140,11,7679,36675,1,133
169,08/01/2020,Afghanistan,38143,3,7678,36710,11,35
170,08/02/2020,Afghanistan,38162,19,7671,36710,1,0
171,08/03/2020,Afghanistan,38165,3,7674,36747,4,37
172,08/04/2020,Afghanistan,38196,31,7559,36782,0,35
173,08/05/2020,Afghanistan,38243,47,7519,36829,6,47
174,08/06/2020,Afghanistan,38288,45,7489,36896,4,67
175,08/07/2020,Afghanistan,38304,16,7182,37015,9,119
176,08/08/2020,Afghanistan,38324,20,6833,37054,5,39
177,08/09/2020,Afghanistan,38398,74,6449,37054,12,0
178,08/10/2020,Afghanistan,38494,96,6522,37162,4,108
179,08/11/2020,Afghanistan,38520,26,6387,37269,16,107
180,08/12/2020,Afghanistan,38544,24,6076,37345,10,76
181,8/13/2020,Afghanistan,38572,28,6023,37424,9,79
182,8/14/2020,Afghanistan,38606,34,6032,37431,0,7
183,8/15/2020,Afghanistan,38641,35,5987,37551,7,120
184,8/16/2020,Afghanistan,38716,75,5658,37596,5,45
185,8/17/2020,Afghanistan,38772,56,5274,37599,0,3
186,8/18/2020,Afghanistan,38815,43,5291,37599,0,0
187,8/19/2020,Afghanistan,38855,40,4916,37599,0,0
188,8/20/2020,Afghanistan,38872,17,4931,37856,10,257
189,8/21/2020,Afghanistan,38883,11,4870,37894,0,38
190,8/22/2020,Afghanistan,38919,36,4906,37953,0,59
191,8/23/2020,Afghanistan,39044,125,5027,37999,2,46
192,8/24/2020,Afghanistan,39074,30,5054,38054,2,55
193,8/25/2020,Afghanistan,39096,22,5075,38070,8,16
194,8/26/2020,Afghanistan,39145,49,5089,38113,4,43
195,8/27/2020,Afghanistan,39170,25,5100,38129,0,16
196,8/28/2020,Afghanistan,39186,16,5116,38140,1,11
197,8/29/2020,Afghanistan,39192,6,5104,38143,0,3
198,8/30/2020,Afghanistan,39227,35,5132,38162,0,19
199,8/31/2020,Afghanistan,39233,6,5136,38165,0,3
200,09/01/2020,Afghanistan,39254,21,5050,38196,4,31
201,09/02/2020,Afghanistan,39268,14,5021,38243,3,47
202,09/03/2020,Afghanistan,39285,17,4985,38288,0,45
203,09/04/2020,Afghanistan,39290,5,4990,38304,0,16
204,09/05/2020,Afghanistan,39297,7,4993,38324,0,20
205,09/06/2020,Afghanistan,39341,44,5027,38398,3,74
206,09/07/2020,Afghanistan,39422,81,5077,38494,3,96
207,09/08/2020,Afghanistan,39486,64,5042,38520,3,26
208,09/09/2020,Afghanistan,39548,62,5034,38544,2,24
209,09/10/2020,Afghanistan,39616,68,5088,38572,0,28
210,09/11/2020,Afghanistan,39693,77,5163,38606,0,34
211,09/12/2020,Afghanistan,39703,10,5166,38641,0,35
212,9/13/2020,Afghanistan,39799,96,5208,38716,0,75
213,9/14/2020,Afghanistan,39870,71,5273,38772,5,56
214,9/15/2020,Afghanistan,39928,58,5140,38815,1,43
215,9/16/2020,Afghanistan,39994,66,5159,38855,10,40
216,9/17/2020,Afghanistan,40026,32,5098,38872,0,17
217,9/18/2020,Afghanistan,40073,47,5072,38883,1,11
218,9/19/2020,Afghanistan,40141,68,5092,38919,0,36
219,9/20/2020,Afghanistan,40200,59,5094,39044,4,125
220,9/21/2020,Afghanistan,40287,87,5030,39074,3,30
221,9/22/2020,Afghanistan,40357,70,5068,39096,1,22
222,9/23/2020,Afghanistan,40510,153,5185,39145,1,49
223,9/24/2020,Afghanistan,40626,116,5290,39170,5,25
224,9/25/2020,Afghanistan,40687,61,5170,39186,0,16
225,9/26/2020,Afghanistan,40768,81,5234,39192,2,6
226,9/27/2020,Afghanistan,40833,65,5190,39227,0,35
227,9/28/2020,Afghanistan,40937,104,5269,39233,2,6
228,9/29/2020,Afghanistan,41032,95,5292,39254,3,21
229,9/30/2020,Afghanistan,41145,113,5379,39268,0,14
230,10/01/2020,Afghanistan,41268,123,5497,39285,0,17
231,10/02/2020,Afghanistan,41334,66,5543,39290,0,5
232,10/03/2020,Afghanistan,41425,91,5568,39297,4,7
233,10/04/2020,Afghanistan,41501,76,5639,39341,0,44
234,10/05/2020,Afghanistan,41633,132,5750,39422,4,81
235,10/06/2020,Afghanistan,41728,95,5829,39486,1,64
236,10/07/2020,Afghanistan,41814,86,5904,39548,2,62
237,10/08/2020,Afghanistan,41935,121,5941,39616,1,68
238,10/09/2020,Afghanistan,41975,40,5981,39693,2,77
239,10/10/2020,Afghanistan,42033,58,6031,39703,1,10
240,10/11/2020,Afghanistan,42092,59,6076,39799,4,96
241,10/12/2020,Afghanistan,42297,205,6002,39870,2,71
242,10/13/2020,Afghanistan,42463,166,5932,39928,1,58
243,10/14/2020,Afghanistan,42609,146,6061,39994,1,66
244,10/15/2020,Afghanistan,42795,186,6180,40026,0,32
245,10/16/2020,Afghanistan,42969,174,6338,40073,4,47
246,10/17/2020,Afghanistan,43035,66,6363,40141,3,68
247,10/18/2020,Afghanistan,43240,205,6531,40200,4,59
248,10/19/2020,Afghanistan,43403,163,6640,40287,5,87
249,10/20/2020,Afghanistan,43628,225,6830,40357,2,70
250,10/21/2020,Afghanistan,43851,223,6911,40510,2,153
251,10/22/2020,Afghanistan,44228,377,7228,40626,4,116
252,10/23/2020,Afghanistan,44443,215,7412,40687,2,61
253,10/24/2020,Afghanistan,44503,60,7406,40768,4,81
254,10/25/2020,Afghanistan,44706,203,7085,40833,3,65
255,10/26/2020,Afghanistan,44988,282,7317,40937,4,104
256,10/27/2020,Afghanistan,45280,292,7446,41032,5,95
257,10/28/2020,Afghanistan,45490,210,7620,41145,6,113
258,10/29/2020,Afghanistan,45716,226,7747,41268,3,123
259,10/30/2020,Afghanistan,45839,123,7804,41334,1,66
260,10/31/2020,Afghanistan,45966,127,7505,41425,3,91
261,11/01/2020,Afghanistan,46215,249,7721,41501,0,76
262,11/02/2020,Afghanistan,46498,283,7936,41633,5,132
263,11/03/2020,Afghanistan,46717,219,8013,41728,3,95
264,11/04/2020,Afghanistan,46980,263,8132,41814,4,86
265,11/05/2020,Afghanistan,47258,278,8115,41935,6,121
266,11/06/2020,Afghanistan,47388,130,8194,41975,0,40
267,11/07/2020,Afghanistan,47641,253,8291,42033,2,58
268,11/08/2020,Afghanistan,47901,260,8244,42092,2,59
269,11/09/2020,Afghanistan,48136,235,8250,42297,16,205
270,11/10/2020,Afghanistan,48366,230,8425,42463,3,166
271,11/11/2020,Afghanistan,48540,174,8469,42609,4,146
272,11/12/2020,Afghanistan,48753,213,8593,42795,10,186
273,11/13/2020,Afghanistan,48826,73,8611,42969,4,174
274,11/14/2020,Afghanistan,48952,126,8664,43035,10,66
275,11/15/2020,Afghanistan,49273,321,8918,43240,12,205
276,11/16/2020,Afghanistan,49484,211,9099,43403,9,163
277,11/17/2020,Afghanistan,49703,219,9202,43628,12,225
278,11/18/2020,Afghanistan,49970,267,9305,43851,7,223
279,11/19/2020,Afghanistan,50202,232,9484,44228,5,377
280,11/20/2020,Afghanistan,50445,243,9687,44443,11,215
281,11/21/2020,Afghanistan,50536,91,9683,44503,14,60
282,11/22/2020,Afghanistan,50677,141,9430,44706,12,203
283,11/23/2020,Afghanistan,50888,211,9098,44988,8,282
284,11/24/2020,Afghanistan,51089,201,9200,45280,17,292
285,11/25/2020,Afghanistan,51357,268,9331,45490,13,210
286,11/26/2020,Afghanistan,51595,238,8889,45716,12,226
287,11/27/2020,Afghanistan,51764,169,8951,45839,3,123
288,11/28/2020,Afghanistan,51844,80,8674,45966,12,127
289,11/29/2020,Afghanistan,52007,163,8506,46215,11,249
290,11/30/2020,Afghanistan,52147,140,8355,46498,11,283
291,12/01/2020,Afghanistan,52330,183,8340,46717,23,219
292,12/02/2020,Afghanistan,52330,0,8340,46980,25,263
293,12/03/2020,Afghanistan,52513,183,8306,47258,19,278
294,12/04/2020,Afghanistan,52586,73,8200,47388,6,130
295,12/05/2020,Afghanistan,52709,123,8197,47641,18,253
296,12/06/2020,Afghanistan,52909,200,8274,47901,10,260
297,12/07/2020,Afghanistan,5,1,29,48136,27,235
298,12/08/2020,Afghanistan,0,1,29,48366,6,230
299,12/09/2020,Afghanistan,0,0,26,48540,13,174
300,12/10/2020,Afghanistan,0,0,2,48753,18,213
301,12/11/2020,Afghanistan,2,1,33,48826,10,73
302,12/12/2020,Afghanistan,3,0,67,48952,11,126
303,12/13/2020,Afghanistan,0,0,6,49273,11,321
304,12/14/2020,Afghanistan,0,2,74,49484,4,211
305,12/15/2020,Afghanistan,0,0,2,49703,26,219
306,12/16/2020,Afghanistan,0,0,1,49970,16,267
307,12/17/2020,Afghanistan,0,1,21,50202,15,232
308,12/18/2020,Afghanistan,3,0,28,50445,5,243
309,12/19/2020,Afghanistan,1,0,9,50536,17,91
310,12/20/2020,Afghanistan,1,0,32,50677,35,141
311,12/21/2020,Afghanistan,0,0,6,50888,0,211
312,12/22/2020,Afghanistan,0,0,4,51089,16,201
313,12/23/2020,Afghanistan,0,0,13,51357,21,268
314,12/24/2020,Afghanistan,9,0,31,51595,9,238
315,12/25/2020,Afghanistan,0,0,3,51764,13,169
316,12/26/2020,Afghanistan,0,0,7,51844,10,80
317,12/27/2020,Afghanistan,0,0,8,52007,12,163
318,12/28/2020,Afghanistan,0,1,3,52147,12,140
319,12/29/2020,Afghanistan,0,0,1,52330,7,183
320,12/30/2020,Afghanistan,6,1,30,52330,0,0
321,12/31/2020,Afghanistan,0,1,33,52513,12,183
322,01/01/2021,Afghanistan,11,0,28,52586,10,73
323,01/02/2021,Afghanistan,0,1,3,52709,10,123
324,01/03/2021,Afghanistan,3,1,37,52909,9,200
325,01/04/2021,Afghanistan,4,0,95,53011,7,102
326,01/05/2021,Afghanistan,0,0,7,53105,7,94
327,01/06/2021,Afghanistan,0,2,89,53207,9,102
328,01/07/2021,Afghanistan,0,0,1,53332,4,125
329,01/08/2021,Afghanistan,0,0,2,53400,7,68
330,01/09/2021,Afghanistan,0,0,1,53489,13,89
331,01/10/2021,Afghanistan,0,1,29,53522,11,33
332,01/11/2021,Afghanistan,3,0,32,53584,13,62
333,01/12/2021,Afghanistan,1,0,15,53690,7,106
334,1/13/2021,Afghanistan,1,0,35,53774,9,84
335,1/14/2021,Afghanistan,0,0,7,53831,7,57
336,1/15/2021,Afghanistan,0,0,4,53938,12,107
337,1/16/2021,Afghanistan,0,0,13,53984,3,46
338,1/17/2021,Afghanistan,11,0,33,54062,4,78
339,1/18/2021,Afghanistan,0,0,4,54141,3,79
340,1/19/2021,Afghanistan,0,1,9,54278,8,137
341,1/20/2021,Afghanistan,1,0,9,54403,9,125
342,1/21/2021,Afghanistan,0,1,4,54483,7,80
343,1/22/2021,Afghanistan,0,0,1,54559,3,76
344,1/23/2021,Afghanistan,6,1,31,54595,5,36
345,1/24/2021,Afghanistan,0,1,38,54672,7,77
346,1/25/2021,Afghanistan,11,0,28,54750,4,78
347,1/26/2021,Afghanistan,0,1,3,54854,0,104
348,1/27/2021,Afghanistan,3,1,41,54891,8,37
349,1/28/2021,Afghanistan,4,0,109,54939,2,48
350,1/29/2021,Afghanistan,0,0,14,55008,1,69
351,1/30/2021,Afghanistan,1,3,128,55023,0,15
352,1/31/2021,Afghanistan,0,0,1,55059,4,36
353,02/01/2021,Afghanistan,0,0,1,55121,1,62
354,02/02/2021,Afghanistan,0,0,2,55174,1,53
355,02/03/2021,Afghanistan,0,0,1,55231,1,57
356,02/04/2021,Afghanistan,0,1,29,55265,0,34
357,02/05/2021,Afghanistan,3,0,36,55330,1,65
358,02/06/2021,Afghanistan,1,0,18,55335,2,5
359,02/07/2021,Afghanistan,1,0,35,55359,3,24
360,02/08/2021,Afghanistan,0,0,7,55386,1,27
361,02/09/2021,Afghanistan,1,0,7,55402,4,16
362,02/10/2021,Afghanistan,0,0,13,55420,1,18
363,02/11/2021,Afghanistan,11,0,37,55445,5,25
364,02/12/2021,Afghanistan,0,0,4,55473,3,28
365,2/13/2021,Afghanistan,0,1,9,55492,0,19
366,2/14/2021,Afghanistan,0,0,1,55514,0,22
367,2/15/2021,Afghanistan,1,0,11,55518,1,4
368,2/16/2021,Afghanistan,0,1,6,55540,0,22
369,2/17/2021,Afghanistan,0,0,7,55557,2,17
370,2/18/2021,Afghanistan,0,0,6,55575,0,18
371,2/19/2021,Afghanistan,6,1,36,55580,0,5
372,2/20/2021,Afghanistan,0,0,3,55604,2,24
373,2/21/2021,Afghanistan,0,3,43,55617,1,13
374,2/22/2021,Afghanistan,11,0,30,55646,2,29
375,2/23/2021,Afghanistan,0,1,3,55664,1,18
376,2/24/2021,Afghanistan,1,0,13,55680,2,16
377,2/25/2021,Afghanistan,3,2,55,55696,4,16
378,2/26/2021,Afghanistan,6,0,118,55707,1,11
379,2/27/2021,Afghanistan,0,0,13,55714,0,7
380,2/28/2021,Afghanistan,0,1,20,55733,1,19
381,03/01/2021,Afghanistan,1,3,124,55759,2,26
382,03/02/2021,Afghanistan,0,0,1,55770,0,11
383,03/03/2021,Afghanistan,0,0,1,55797,1,27
384,03/04/2021,Afghanistan,0,0,2,55840,2,43
385,03/05/2021,Afghanistan,0,0,1,55840,0,0
